date,Open,High,Low,Close,Adj Close,Volume,symbol
2025-03-04,53900,55000,53800,54500,54500,18553933,005930
2025-03-05,55100,55400,54000,54000,54000,16578817,005930
2025-03-06,54100,54500,54000,54300,54300,12258101,005930
2025-03-07,53500,54200,53400,53700,53700,14274992,005930
2025-03-10,53500,54800,53500,53700,53700,12921670,005930
2025-03-11,52500,54100,52500,53600,53600,17740891,005930
2025-03-12,53800,55300,53600,54900,54900,17973221,005930
2025-03-13,55800,55900,54200,54700,54700,24132151,005930
2025-03-14,54500,55100,54400,54700,54700,10845154,005930
2025-03-17,55500,57800,55400,57600,57600,35559021,005930
2025-03-18,58800,59000,57300,57600,57600,28138594,005930
2025-03-19,57400,59200,57400,58500,58500,29421759,005930
2025-03-20,59200,60300,58500,60200,60200,34989004,005930
2025-03-21,60900,61700,60400,61700,61700,40155612,005930
2025-03-24,61200,61600,60500,60500,60500,14088094,005930
2025-03-25,60900,61100,59500,59800,59800,17259455,005930
2025-03-26,59800,61400,59700,61400,61400,16431645,005930
2025-03-27,60900,62000,60800,61800,61800,20389790,005930
2025-03-28,60700,61100,60000,60200,60200,16282514,005930
2025-03-31,59500,59700,57800,57800,57800,17633494,005930
2025-04-01,58700,59600,57900,58800,58800,13841706,005930
2025-04-02,58800,59400,58300,58800,58800,14402297,005930
2025-04-03,56900,57800,56900,57600,57600,19508076,005930
2025-04-04,56200,58200,55700,56100,56100,23527139,005930
2025-04-07,53300,54100,53100,53200,53200,31998883,005930
2025-04-08,55000,55300,53300,53500,53500,25532845,005930
2025-04-09,53300,54300,52900,53000,53000,20576960,005930
2025-04-10,56600,56700,55000,56400,56400,22948172,005930
2025-04-11,55600,55700,54800,55200,55200,13930480,005930
2025-04-14,56300,56700,55800,56200,56200,12852613,005930
2025-04-15,56300,57100,56200,56600,56600,8998640,005930
2025-04-16,56000,56200,54500,54700,54700,14437025,005930
2025-04-17,54700,55300,54500,55100,55100,10867069,005930
2025-04-18,55300,55600,54900,55300,55300,5848342,005930
2025-04-21,55200,56000,55100,55400,55400,5941847,005930
2025-04-22,54900,55500,54700,55000,55000,9532469,005930
2025-04-23,56000,56100,55500,55700,55700,11148692,005930
2025-04-24,55600,55800,55200,55700,55700,10580377,005930
2025-04-25,56400,56400,55600,55700,55700,12183303,005930
2025-04-28,55800,55900,55500,55800,55800,9341518,005930
2025-04-29,55700,56500,55600,55800,55800,10295518,005930
2025-04-30,55900,56000,55300,55500,55500,13014189,005930
2025-05-02,55000,55500,54200,54300,54300,22454204,005930
2025-05-07,54500,55000,54300,54600,54600,17136991,005930
2025-05-08,55100,55500,54500,54600,54600,16320532,005930
2025-05-09,54700,55000,54400,54800,54800,7814322,005930
2025-05-12,55200,57600,55000,57600,57600,15414702,005930
2025-05-13,57700,58200,56800,56900,56900,16842801,005930
2025-05-14,57500,57900,57000,57400,57400,12468089,005930
2025-05-15,57400,58600,57100,57300,57300,13139736,005930
2025-05-16,57400,57500,56700,56800,56800,10385352,005930
2025-05-19,56400,56400,55500,55800,55800,9802105,005930
2025-05-20,56200,56700,55700,55900,55900,9080577,005930
2025-05-21,56200,56600,55700,55700,55700,7794181,005930
2025-05-22,55300,55500,54500,54700,54700,15254278,005930
2025-05-23,55000,55200,54100,54200,54200,11247115,005930
2025-05-26,53900,55000,53700,54700,54700,10901337,005930
2025-05-27,54200,54500,53800,53900,53900,13439520,005930
2025-05-28,54300,56100,54200,55900,55900,17516283,005930
2025-05-29,56200,56400,55600,56100,56100,12936810,005930
2025-05-30,56200,57200,55800,56200,56200,26219683,005930
2025-06-02,56300,57300,56200,56800,56800,12870515,005930
2025-06-04,57200,57900,56800,57800,57800,19649983,005930
2025-06-05,58100,59900,57900,59100,59100,23266027,005930
2025-06-09,60400,60400,59500,59800,59800,19609659,005930
2025-06-10,60000,60100,58800,59200,59200,15305760,005930
2025-06-11,59500,60100,59400,59900,59900,13610734,005930
2025-06-12,59700,60000,59300,59500,59500,17755115,005930
2025-06-13,60200,60200,57700,58300,58300,20705979,005930
2025-06-16,58000,58100,56900,57200,57200,22200872,005930
2025-06-17,57800,59800,57400,58100,58100,28637003,005930
2025-06-18,58000,59800,57900,59800,59800,17620705,005930
2025-06-19,60500,60600,59000,59200,59200,16876278,005930
2025-06-20,59400,59800,59100,59500,59500,18072251,005930
2025-06-23,58400,58500,57600,58000,58000,16551694,005930
2025-06-24,59400,60600,59300,60500,60500,23737899,005930
2025-06-25,61500,61600,60300,61300,61300,23933612,005930
2025-06-26,61300,61300,59900,60200,60200,19402300,005930
2025-06-27,60100,61600,60000,60800,60800,17340470,005930
2025-06-30,61200,61200,59800,59800,59800,17110294,005930
2025-07-01,60400,61100,60200,60200,60200,13650991,005930
2025-07-02,60200,60900,59800,60800,60800,15047951,005930
2025-07-03,61300,63800,61100,63800,63800,32040639,005930
2025-07-04,64700,64700,63000,63300,63300,23748959,005930
2025-07-07,62900,63300,61700,61700,61700,17164708,005930
2025-07-08,61600,62400,61000,61400,61400,20213724,005930
2025-07-09,61400,61400,60200,60400,60400,17533415,005930
2025-07-10,60600,61200,60400,61000,61000,14768473,005930
2025-07-11,61300,62800,61200,62600,62600,19140650,005930
2025-07-14,62300,62600,61800,62500,62500,13563846,005930
2025-07-15,62300,63800,62000,63700,63700,18442202,005930
2025-07-16,63700,64700,63100,64700,64700,23042660,005930
2025-07-17,65900,66800,64400,66700,66700,39448683,005930
2025-07-18,67000,67800,66300,67100,67100,23951531,005930
2025-07-21,67400,68800,67200,67800,67800,17723148,005930
2025-07-22,68100,68500,65600,66000,66000,20829006,005930
2025-07-23,66200,66500,64900,66400,66400,15687058,005930
2025-07-24,66500,66800,65900,66000,66000,12660193,005930
2025-07-25,65700,66300,65500,65900,65900,8080910,005930
2025-07-28,68200,70400,67200,70400,70400,35332500,005930
2025-07-29,70800,70800,68800,70600,70600,28190940,005930
2025-07-30,71000,73700,70600,72600,72600,34761444,005930
2025-07-31,73000,74000,71000,71400,71400,26568072,005930
2025-08-01,70200,72000,68800,68900,68900,24038534,005930
2025-08-04,69500,70200,68700,69700,69700,14780072,005930
2025-08-05,71000,71500,69700,69900,69900,14392903,005930
2025-08-06,69200,69400,68300,68800,68800,12542415,005930
